name,time,delta_volume,total_accumulated_volume,total_pulse_count
water_meter,1616378381224146326,0,0,0
water_meter,1616378681350139016,0,0,0
water_meter,1616378981486189967,0,0,0
water_meter,1616379281614813922,0,0,0
water_meter,1616379581741989050,0,0,0
water_meter,1616379881861993534,0,0,0
water_meter,1616380181944504157,0,0,0
water_meter,1616380482050126004,0,0,0
water_meter,1616380782117005840,0,0,0
water_meter,1616381082255364480,0,0,0
water_meter,1616381382382148738,0,0,0
water_meter,1616381982581080121,0,0,0
water_meter,1616382282650292247,0,0,0
water_meter,1616382582772432764,0,0,0
water_meter,1616382882893322845,0,0,0
water_meter,1616383183023178021,0,0,0
water_meter,1616383483064204087,0,0,0
water_meter,1616383783109878810,0,0,0
water_meter,1616384083144222529,0,0,0
water_meter,1616384383280498982,0,0,0
water_meter,1616384683418095659,0,0,0
water_meter,1616384983491019598,0,0,0
water_meter,1616385283582175231,0,0,0
water_meter,1616385583711587225,0,0,0
water_meter,1616385883791774524,0,0,0
water_meter,1616386183935523901,0,0,0
water_meter,1616386484050339693,0,0,0
water_meter,1616386784181520773,0,0,0
water_meter,1616387084312813887,0,0,0
water_meter,1616387384361361537,0,0,0
water_meter,1616387684472984282,0,0,0
water_meter,1616387984500393797,0,0,0
water_meter,1616388284631090644,0,0,0
water_meter,1616388584679686530,0,0,0
water_meter,1616388884814239451,0,0,0
water_meter,1616389184920034763,0,0,0
water_meter,1616389485049790129,0,0,0
water_meter,1616389785104636741,0,0,0
water_meter,1616390085142224165,0,0,0
water_meter,1616390385259728551,0,0,0
water_meter,1616390685390792508,0,0,0
water_meter,1616390985520643824,0,0,0
water_meter,1616391285642031376,0,0,0
water_meter,1616391585776218686,0,0,0
water_meter,1616391885861875525,0,0,0
water_meter,1616392185996037512,0,0,0
water_meter,1616392486070965953,0,0,0
water_meter,1616392786112642537,0,0,0
water_meter,1616393086240823722,0,0,0
water_meter,1616393386372515299,0,0,0
water_meter,1616393686471281684,0,0,0
water_meter,1616393986550245379,0,0,0
water_meter,1616394286650594570,0,0,0
