name,time,litres
water_tank,1616378140114517852,0
water_tank,1616378170236744859,0
water_tank,1616378200302225692,0
water_tank,1616378230423702983,0
water_tank,1616378260526454221,0
water_tank,1616378290910502682,0
water_tank,1616378320735986035,0
water_tank,1616378350879390093,0
water_tank,1616378380939184047,0
water_tank,1616378411056964967,0
water_tank,1616378441148510333,0
water_tank,1616378471268342328,0
water_tank,1616378501369239130,0
water_tank,1616378531487041908,0
water_tank,1616378561551757562,0
water_tank,1616378591668785906,0
water_tank,1616378621761282498,0
water_tank,1616378651853137109,0
water_tank,1616378681965280223,0
water_tank,1616378712149460718,0
water_tank,1616378742227153555,0
water_tank,1616378772286358739,0
water_tank,1616378802396906325,0
water_tank,1616378832509642060,0
water_tank,1616378862619878208,0
water_tank,1616378892747566556,0
water_tank,1616378922826040444,0
water_tank,1616378953130459467,0
water_tank,1616378962922742781,0
water_tank,1616378993027085046,0
water_tank,1616379023145223756,0
water_tank,1616379053259397151,0
water_tank,1616379083337103429,0
water_tank,1616379113431675892,0
water_tank,1616379143512940895,0
water_tank,1616379173610315330,0
water_tank,1616379203704600045,0
water_tank,1616379233857669039,0
water_tank,1616379263912505941,0
water_tank,1616379294004893957,0
water_tank,1616379324326009152,0
water_tank,1616379354200004809,0
water_tank,1616379377108899547,7693
water_tank,1616379387093606520,0
water_tank,1616379417239139987,0
water_tank,1616379447300232452,0
water_tank,1616379477413440991,0
water_tank,1616379507509522117,0
water_tank,1616379537635518735,0
water_tank,1616379567745079077,0
water_tank,1616379597897328126,0
water_tank,1616379627987374887,0
water_tank,1616379638027659975,0
water_tank,1616379668097262203,0
water_tank,1616379682276334678,15122
water_tank,1616379691905732542,0
water_tank,1616379722019128394,0
water_tank,1616379752131731072,0
water_tank,1616379780356895733,530
water_tank,1616379790319779482,0
water_tank,1616379820431905356,0
water_tank,1616379850529305692,0
water_tank,1616379880624188647,0
water_tank,1616379910718811697,0
water_tank,1616379940811004365,0
water_tank,1616379970927649729,0
water_tank,1616380000988537320,0
water_tank,1616380031085188514,0
water_tank,1616380061182120494,0
water_tank,1616380091281036325,0
water_tank,1616380121372025972,0
water_tank,1616380151491587318,0
water_tank,1616380181532655121,0
water_tank,1616380192029891780,13795
water_tank,1616380202045262912,0
water_tank,1616380232122678425,0
water_tank,1616380262220611857,0
water_tank,1616380272225353724,0
water_tank,1616380302299105433,0
water_tank,1616380332417301509,0
water_tank,1616380362476886907,0
water_tank,1616380372875236186,15122
water_tank,1616380382857158108,0
water_tank,1616380412969523646,0
water_tank,1616380443064816906,0
water_tank,1616380473178545184,0
water_tank,1616380503290823098,0
water_tank,1616380533402350805,0
water_tank,1616380552104403508,5438
water_tank,1616380562107456055,0
water_tank,1616380592218812481,0
water_tank,1616380622315401347,0
water_tank,1616380647113572272,13132
water_tank,1616380657115330953,0
water_tank,1616380687247829603,0
water_tank,1616380717306715521,0
water_tank,1616380747402775705,0
water_tank,1616380777482455386,0
water_tank,1616380807577583867,0
water_tank,1616380837658297263,0
water_tank,1616380867787499447,0
water_tank,1616380897847965965,0
water_tank,1616380927961237412,0
water_tank,1616380958324904230,0
water_tank,1616380988183558437,0
water_tank,1616381018324220526,0
water_tank,1616381048686748188,0
water_tank,1616381078504021283,0
water_tank,1616381108598388107,0
water_tank,1616381138692733138,0
water_tank,1616381168805141190,0
water_tank,1616381198916508039,0
water_tank,1616381229030074593,0
water_tank,1616381259127160788,0
water_tank,1616381289205696440,0
